iter	Logloss
0	0.6880204092
1	0.683385909
2	0.6787828101
3	0.6743523424
4	0.6696614178
5	0.6650575152
6	0.6622725306
7	0.6581645611
8	0.6546415946
9	0.650108742
10	0.6465244947
11	0.6429830744
12	0.6391066084
13	0.6354258897
14	0.6315233448
15	0.6282452043
16	0.6256640262
17	0.6218278895
18	0.6178001949
19	0.6147873333
20	0.6113026172
21	0.6077651099
22	0.6045638377
23	0.6008646709
24	0.5973443805
25	0.5942328617
26	0.5905469485
27	0.5878048489
28	0.5847124221
29	0.5819535521
30	0.5783818569
31	0.5751749225
32	0.5726162512
33	0.5695206062
34	0.5663891123
35	0.5640332589
36	0.5613098101
37	0.5588075779
38	0.556435381
39	0.5538837165
40	0.551649965
41	0.5485900702
42	0.545931482
43	0.5435356598
44	0.5410900416
45	0.5386130366
46	0.5359966459
47	0.5339192353
48	0.5311560777
49	0.5283793756
50	0.5265617725
51	0.5240427469
52	0.5225995301
53	0.51978348
54	0.5178198573
55	0.5153375445
56	0.5132646536
57	0.5106302784
58	0.5098969415
59	0.5075839766
60	0.505539315
61	0.5028796826
62	0.5004992019
63	0.498445019
64	0.4963285502
65	0.4937921456
66	0.4918622912
67	0.4893361619
68	0.4883227151
69	0.4861793297
70	0.4844586589
71	0.4824388891
72	0.480411073
73	0.4783792686
74	0.4766457059
75	0.4742548337
76	0.4719182514
77	0.4700566748
78	0.4680319696
79	0.4659196943
80	0.464231857
81	0.4625713993
82	0.4607429729
83	0.4587685289
84	0.4570468571
85	0.4553003441
86	0.4534575194
87	0.4519702947
88	0.4500953006
89	0.448187034
90	0.4464554937
91	0.4448080977
92	0.4434304828
93	0.4421976899
94	0.4410412765
95	0.4394730855
96	0.4378046859
97	0.4358694496
98	0.4343289294
99	0.4330895915
100	0.4312891046
101	0.4298797047
102	0.4283006184
103	0.4270606948
104	0.4253382363
105	0.4234432614
106	0.4216153537
107	0.4207392339
108	0.4187269405
109	0.4176045271
110	0.4159137994
111	0.4146501396
112	0.4130295439
113	0.4119741472
114	0.411495441
115	0.4102139833
116	0.4093486975
117	0.407836196
118	0.4061182579
119	0.4047765021
120	0.4036330209
121	0.4022450582
122	0.4008552111
123	0.3998025982
124	0.398340879
125	0.3978668155
126	0.3972443417
127	0.3957802058
128	0.3947249092
129	0.3940686892
130	0.3925815223
131	0.3912742888
132	0.3900396537
133	0.3889016115
134	0.3877312948
135	0.3867494046
136	0.3854617678
137	0.3842409264
138	0.3829181276
139	0.3821119939
140	0.3814846982
141	0.3801744567
142	0.3787937142
143	0.3775697681
144	0.3762503898
145	0.3752663012
146	0.3742537994
147	0.3737916713
148	0.3729194819
149	0.3723235254
150	0.3712144233
151	0.3697515198
152	0.3690160815
153	0.3677756331
154	0.3671896516
155	0.3660947187
156	0.3650717973
157	0.3641208196
158	0.3636381041
159	0.3627648102
160	0.3624775353
161	0.3614856719
162	0.3608543714
163	0.3599250773
164	0.3592821456
165	0.3582670579
166	0.3575781371
167	0.3567742004
168	0.3558085648
169	0.3550904248
170	0.3541899122
171	0.3530327321
172	0.3522655586
173	0.3510549487
174	0.3504390154
175	0.3496437448
176	0.3488990642
177	0.3481702042
178	0.3474126631
179	0.3466945953
180	0.3455361822
181	0.3445041311
182	0.3435494266
183	0.3426753486
184	0.3416144853
185	0.3409020785
186	0.3400583943
187	0.3395803406
188	0.3386065032
189	0.3375520327
190	0.3367093428
191	0.3357387768
192	0.3351112953
193	0.3341607027
194	0.3333266022
195	0.3324277464
196	0.3319053482
197	0.3311691747
198	0.3301339566
199	0.3293468538
200	0.3287361774
201	0.3282732656
202	0.3275046599
203	0.327218147
204	0.3264160923
205	0.3258314442
206	0.3251897299
207	0.3245694202
208	0.3238741874
209	0.323149052
210	0.322652951
211	0.3222979953
212	0.3212861828
213	0.320374966
214	0.3198602228
215	0.3190511307
216	0.3183775605
217	0.317541694
218	0.3167777876
219	0.3160660189
220	0.3153131972
221	0.3143894493
222	0.3133883614
223	0.3125556446
224	0.3120045884
225	0.3116553309
226	0.310888382
227	0.310308834
228	0.3094685708
229	0.3087913846
230	0.3082951166
231	0.3077291167
232	0.3068948038
233	0.3065821174
234	0.3061080582
235	0.3053356741
236	0.3045249992
237	0.3037394203
238	0.3031458195
239	0.3025358565
240	0.3018980452
241	0.301194375
242	0.3004746424
243	0.2996034511
244	0.2988564872
245	0.2981859355
246	0.2974396144
247	0.2968820858
248	0.2962602384
249	0.295995031
250	0.2950547459
251	0.294648935
252	0.2939041251
253	0.2932969697
254	0.2926512954
255	0.2919502244
256	0.2911465243
257	0.2906806485
258	0.2901598175
259	0.2895550912
260	0.2891899235
261	0.2890910692
262	0.288485053
263	0.2875763038
264	0.2869361257
265	0.2862934743
266	0.2857186791
267	0.2851520146
268	0.2846360016
269	0.2841599029
270	0.2834698532
271	0.2831885515
272	0.2826043567
273	0.2820090525
274	0.2815234201
275	0.2810353486
276	0.2804895887
277	0.2802158749
278	0.2795886819
279	0.2788963777
280	0.2784027925
281	0.2779150934
282	0.2773790617
283	0.2769688141
284	0.2766109875
285	0.2759511749
286	0.2753698586
287	0.2749977852
288	0.2746069766
289	0.2739995794
290	0.2734517237
291	0.2730102976
292	0.2724516834
293	0.2719761814
294	0.2713656525
295	0.271160417
296	0.2704026168
297	0.2699185429
298	0.2696185504
299	0.2691144383
300	0.2686636257
301	0.2683153252
302	0.2677608562
303	0.2672554347
304	0.2668456938
305	0.2667928503
306	0.2661229714
307	0.2656353391
308	0.2650186644
309	0.264518457
310	0.2644456183
311	0.2639818673
312	0.263507861
313	0.2632431816
314	0.2627418992
315	0.2624684424
316	0.2618132598
317	0.2615127176
318	0.2609616608
319	0.2604798148
320	0.260026339
321	0.259461253
322	0.2589245951
323	0.2582244674
324	0.2579366859
325	0.2574614458
326	0.2569998413
327	0.2566923997
328	0.2561920731
