iter	Logloss
0	0.6888817014
1	0.6839794197
2	0.6793214256
3	0.6750611724
4	0.670816799
5	0.6660168196
6	0.6617141064
7	0.6580406534
8	0.6542695321
9	0.6501255844
10	0.645671228
11	0.6423537918
12	0.6385112634
13	0.635498315
14	0.632009134
15	0.628063109
16	0.6247782128
17	0.6210976232
18	0.6188584154
19	0.6154880675
20	0.6124162129
21	0.6087633097
22	0.6049180974
23	0.6013575538
24	0.5984252503
25	0.5952138328
26	0.5919273105
27	0.5891520312
28	0.5855951036
29	0.5830655923
30	0.580035645
31	0.5766225698
32	0.5754688556
33	0.5719713661
34	0.5687293086
35	0.5658587153
36	0.5648634537
37	0.5628865252
38	0.5603605103
39	0.5574468301
40	0.5544245655
41	0.552217901
42	0.548900864
43	0.5470121918
44	0.5445269492
45	0.5418118767
46	0.5391008215
47	0.5359507943
48	0.5343620263
49	0.5319931102
50	0.52968066
51	0.526945965
52	0.524308723
53	0.5217565784
54	0.5190767899
55	0.5163537413
56	0.5147927459
57	0.5118919316
58	0.5091584166
59	0.5073261953
60	0.5048283106
61	0.5023215455
62	0.500245778
63	0.4978305862
64	0.4955066124
65	0.4943674677
66	0.4917123421
67	0.4893265621
68	0.4875457134
69	0.4859550253
70	0.4840545112
71	0.4817361223
72	0.4799364336
73	0.4782584318
74	0.4760669975
75	0.4743355164
76	0.4721047875
77	0.4705476729
78	0.4685675177
79	0.4677746769
80	0.4658500271
81	0.4640259405
82	0.4622988989
83	0.460915729
84	0.4592854186
85	0.4573293412
86	0.4565127382
87	0.455204924
88	0.4530581563
89	0.4513152436
90	0.4493784876
91	0.4473943285
92	0.4457137488
93	0.4443224112
94	0.4431022831
95	0.4417578062
96	0.4406569127
97	0.4391100934
98	0.4376188029
99	0.4356694708
100	0.4345853769
101	0.4336349374
102	0.4319541067
103	0.4306183183
104	0.4288408362
105	0.4282663239
106	0.427168384
107	0.4252074259
108	0.4237353869
109	0.422279769
110	0.4205048021
111	0.4193413957
112	0.4179889021
113	0.4164893315
114	0.4148129264
115	0.4137993336
116	0.4124883486
117	0.4113106973
118	0.4095807605
119	0.4080973674
120	0.4068705635
121	0.4056354023
122	0.4046159107
123	0.4031681817
124	0.4016650723
125	0.4004989932
126	0.3995913266
127	0.3987826939
128	0.3978570447
129	0.3965683699
130	0.3957217452
131	0.394883358
132	0.393603739
133	0.3924270428
134	0.3911494135
135	0.3899049222
136	0.3886064107
137	0.3873789743
138	0.3862693201
139	0.3848486936
140	0.383823695
141	0.3828746222
142	0.3815600503
143	0.3806130331
144	0.3797948828
145	0.3794660342
146	0.3784448344
147	0.3770737011
148	0.3761665604
149	0.3749529684
150	0.3741047346
151	0.3730193904
152	0.3721513608
153	0.3706528903
154	0.3697631533
155	0.3687025996
156	0.3675221909
157	0.3667547329
158	0.365549823
159	0.3645382369
160	0.3636781339
161	0.3627731035
162	0.3618925068
163	0.3607502343
164	0.3602339482
165	0.3592000999
166	0.3584151615
167	0.3574513594
168	0.3568006332
169	0.3556280594
170	0.3548797621
171	0.3538732703
172	0.3526773253
173	0.3517320551
174	0.3507931823
175	0.3496425876
176	0.3488538319
177	0.348447949
178	0.3473960414
179	0.3465024421
180	0.3454229991
181	0.3445305175
182	0.3437149669
183	0.3425947901
184	0.3417377976
185	0.3406626937
186	0.339924299
187	0.3390602891
188	0.3383312411
189	0.3375440605
190	0.3368216564
191	0.3364719444
192	0.3358868862
193	0.3349740348
194	0.3343832868
195	0.3337034167
196	0.3326064355
197	0.3316773302
198	0.330517028
199	0.3296649279
200	0.3293587017
201	0.3288804923
202	0.3282195979
203	0.3273636124
204	0.3262051835
205	0.3255079402
206	0.3252359899
207	0.3244190635
208	0.3237662558
209	0.3230208303
210	0.3222863302
211	0.3217113269
212	0.3209905222
213	0.3205504289
214	0.3198152898
215	0.3192929053
216	0.3186169588
217	0.3175443166
218	0.3169207621
219	0.3162195761
220	0.3154089121
221	0.3147337762
222	0.3139811241
223	0.3132290042
224	0.3123929516
225	0.3116957264
226	0.3110723731
227	0.3101080521
228	0.3094141448
229	0.3087058237
230	0.3078758683
231	0.3072761423
232	0.3064883694
233	0.3061705781
234	0.3053999255
235	0.3047444339
236	0.3043762933
237	0.3036074662
238	0.3031042511
239	0.3025774427
240	0.3020830935
241	0.3014600129
242	0.3008653651
243	0.3005378899
244	0.2999106937
245	0.2994476144
246	0.2988682596
247	0.2985584434
248	0.2981192106
249	0.297511183
250	0.2970491426
251	0.2963868717
252	0.2960730094
253	0.2957623569
254	0.2951358485
255	0.2943025885
256	0.2936305489
257	0.2928547495
258	0.2920965728
259	0.2916958887
260	0.2912644713
261	0.2905484737
262	0.2899836734
263	0.2892168984
264	0.2884226475
265	0.2875888319
266	0.2872894485
267	0.2865466829
268	0.2860766449
269	0.2854412841
270	0.2849663982
271	0.2843384728
272	0.2837234042
273	0.2830839386
274	0.2823445806
275	0.2817300146
276	0.2814107873
277	0.281047258
278	0.2803507766
279	0.2799010732
280	0.2792394052
281	0.278740865
282	0.2782436686
283	0.2778450948
284	0.2775285187
285	0.2769163644
286	0.2764157437
287	0.2760349992
288	0.2754825118
289	0.2747736157
290	0.2742324245
291	0.2739948346
292	0.2732360196
293	0.2728092242
294	0.2722524489
295	0.2718631307
296	0.2711084494
297	0.2705591673
298	0.2699931418
299	0.269532
300	0.269171185
301	0.2686492792
302	0.2678680935
303	0.2674325769
304	0.2667997963
305	0.2659905744
306	0.2654047184
307	0.2649504736
308	0.2644135261
309	0.2638924357
310	0.2634442801
311	0.262832046
312	0.2623219027
313	0.2618585228
314	0.2612913453
315	0.2606186398
316	0.2602036585
317	0.2596472303
318	0.2592188129
319	0.2588223037
320	0.2583801982
321	0.2578414005
322	0.2572942539
