iter	Passed	Remaining
393	693	1066
394	695	1064
395	696	1063
396	698	1061
397	700	1059
398	702	1057
399	704	1056
400	705	1054
401	707	1052
402	709	1050
403	710	1048
404	712	1046
405	714	1045
406	716	1043
407	717	1041
408	719	1039
409	720	1037
410	722	1035
411	723	1033
412	725	1031
413	726	1028
414	728	1027
415	730	1025
416	732	1023
417	733	1021
418	735	1019
419	736	1017
420	738	1015
421	739	1013
422	741	1011
423	743	1010
424	745	1008
425	747	1007
426	749	1005
427	750	1003
428	752	1001
429	753	999
430	755	997
431	756	995
432	758	993
433	760	991
434	762	989
435	763	988
436	765	986
437	766	984
438	768	982
439	770	980
440	771	978
441	773	976
442	775	975
443	777	973
444	778	971
445	780	969
446	782	967
447	783	965
448	785	963
449	786	961
450	788	959
451	790	958
452	792	956
453	794	955
454	795	953
455	797	951
456	798	949
457	800	947
458	802	945
459	803	943
460	805	941
461	807	940
462	809	938
463	810	936
464	812	934
465	813	932
466	815	930
467	816	928
468	818	926
469	819	924
470	821	922
471	823	921
472	825	919
473	826	917
474	828	915
475	829	913
476	831	911
477	832	909
478	834	907
479	836	905
480	838	904
481	840	902
482	841	900
483	843	898
484	844	896
485	846	895
486	848	893
487	850	891
488	851	890
489	853	888
490	855	887
491	857	885
492	859	883
493	860	881
494	862	879
495	863	877
496	865	876
497	867	874
498	869	872
499	870	870
500	872	868
501	874	867
502	875	865
503	877	863
504	878	861
505	880	859
506	882	857
507	883	855
508	885	854
509	887	852
510	888	850
511	890	848
512	892	846
513	893	845
514	895	843
515	896	841
516	898	839
517	900	837
518	901	835
519	903	834
520	905	832
521	906	830
522	908	828
523	910	826
524	911	825
525	913	823
526	914	821
527	916	819
528	918	817
529	920	816
530	922	814
531	923	812
532	925	810
533	926	808
534	928	806
535	929	805
536	931	802
537	933	801
538	934	799
539	936	797
540	938	795
541	939	793
542	941	792
543	942	790
544	944	788
545	945	786
546	947	784
547	949	783
548	951	781
549	953	779
550	954	777
551	956	776
552	957	774
553	959	772
554	960	770
555	962	768
556	963	766
557	965	764
558	967	763
559	968	761
560	970	759
561	971	757
562	973	755
563	975	753
564	976	751
565	978	750
566	980	748
567	982	746
568	983	745
569	985	743
570	986	741
571	988	739
572	989	737
573	991	735
574	993	734
575	995	732
576	996	730
577	998	728
578	999	727
579	1001	725
580	1003	723
581	1004	721
582	1006	719
583	1007	717
584	1009	715
585	1011	714
586	1012	712
587	1014	710
588	1015	708
589	1017	707
590	1019	705
591	1021	703
592	1022	702
593	1024	700
594	1026	698
595	1028	697
596	1029	695
597	1031	693
598	1033	691
599	1034	689
600	1035	687
601	1037	685
602	1038	683
603	1040	682
604	1042	680
605	1044	678
606	1045	677
607	1047	675
608	1048	673
609	1050	671
610	1051	669
611	1053	667
612	1054	665
613	1056	664
614	1058	662
615	1060	660
616	1061	658
617	1063	657
618	1064	655
619	1066	653
620	1067	651
621	1069	649
622	1071	648
623	1073	646
624	1075	645
625	1076	643
626	1078	641
627	1079	639
628	1081	637
629	1082	635
630	1084	634
631	1086	632
632	1088	630
633	1090	629
634	1091	627
635	1093	625
636	1094	623
637	1096	622
638	1098	620
639	1100	618
640	1102	617
641	1103	615
642	1105	613
643	1107	612
644	1109	610
645	1111	608
646	1112	607
647	1114	605
648	1116	603
649	1118	602
650	1120	600
651	1123	599
652	1124	597
653	1126	595
654	1128	594
655	1130	592
656	1131	590
657	1133	589
658	1136	587
659	1138	586
660	1140	585
661	1142	583
662	1144	581
663	1146	579
664	1148	578
665	1149	576
666	1152	575
667	1154	573
668	1156	572
669	1158	570
670	1160	569
671	1162	567
672	1164	565
673	1166	564
674	1169	563
675	1171	561
676	1174	560
677	1176	558
678	1179	557
679	1181	555
680	1183	554
681	1185	552
682	1187	551
683	1189	549
684	1191	547
685	1193	546
686	1195	544
687	1197	542
688	1199	541
689	1201	539
690	1203	538
691	1206	536
692	1208	535
693	1209	533
694	1212	531
695	1215	530
696	1218	529
697	1220	528
698	1222	526
699	1224	524
700	1227	523
701	1230	522
702	1232	520
703	1234	519
704	1236	517
705	1238	515
706	1241	514
707	1243	512
708	1245	511
709	1248	509
710	1250	508
711	1253	507
712	1255	505
713	1257	503
714	1259	502
715	1262	500
716	1264	499
717	1266	497
718	1268	495
719	1270	493
720	1272	492
721	1274	490
722	1277	489
723	1280	488
724	1283	486
725	1285	485
726	1287	483
727	1290	481
728	1292	480
729	1294	478
730	1296	477
731	1298	475
732	1300	473
733	1301	471
734	1303	470
735	1305	468
736	1307	466
737	1309	464
738	1311	463
739	1313	461
740	1315	459
741	1316	457
742	1318	456
743	1320	454
744	1322	452
745	1324	450
746	1326	449
747	1328	447
748	1330	445
749	1331	443
750	1333	442
751	1335	440
752	1337	438
753	1339	436
754	1340	435
755	1342	433
756	1345	431
757	1346	429
758	1348	428
759	1350	426
760	1353	424
761	1354	423
762	1356	421
763	1358	419
764	1360	417
765	1361	416
766	1363	414
767	1365	412
768	1368	410
769	1369	409
770	1371	407
771	1373	405
772	1375	403
773	1377	402
774	1378	400
775	1380	398
776	1382	396
777	1384	395
778	1386	393
779	1388	391
780	1390	389
781	1391	388
782	1393	386
783	1395	384
784	1397	382
785	1399	381
786	1401	379
787	1403	377
788	1405	375
789	1407	374
790	1409	372
791	1411	370
792	1413	368
793	1415	367
794	1417	365
795	1419	363
796	1420	361
797	1422	360
798	1424	358
799	1426	356
800	1427	354
801	1429	352
802	1431	351
803	1433	349
804	1435	347
805	1436	345
806	1438	344
807	1440	342
808	1441	340
809	1443	338
810	1445	336
811	1447	335
812	1449	333
813	1450	331
814	1453	329
815	1455	328
816	1457	326
817	1459	324
818	1462	323
819	1463	321
820	1465	319
821	1466	317
822	1468	315
823	1470	314
824	1472	312
825	1474	310
826	1475	308
827	1478	307
828	1479	305
829	1481	303
830	1483	301
831	1485	299
832	1487	298
833	1488	296
834	1490	294
835	1492	292
836	1494	291
837	1496	289
838	1497	287
839	1499	285
840	1501	283
841	1502	282
842	1504	280
843	1506	278
844	1508	276
845	1509	274
846	1511	273
847	1513	271
848	1515	269
849	1517	267
850	1518	265
851	1520	264
852	1522	262
853	1524	260
854	1526	258
855	1528	257
856	1529	255
857	1531	253
858	1533	251
859	1534	249
860	1536	248
861	1538	246
862	1540	244
863	1542	242
864	1543	240
865	1545	239
866	1547	237
867	1549	235
868	1550	233
869	1552	232
870	1554	230
871	1556	228
872	1558	226
873	1559	224
874	1561	223
875	1563	221
876	1565	219
877	1567	217
878	1568	215
879	1571	214
880	1573	212
881	1575	210
882	1576	208
883	1578	207
884	1580	205
885	1581	203
886	1583	201
887	1585	199
888	1587	198
889	1589	196
890	1590	194
891	1592	192
892	1594	191
893	1595	189
894	1597	187
895	1599	185
896	1600	183
897	1603	182
898	1605	180
899	1606	178
900	1608	176
901	1610	174
902	1611	173
903	1613	171
904	1615	169
905	1617	167
906	1619	166
907	1621	164
908	1622	162
909	1624	160
910	1626	158
911	1627	157
912	1629	155
913	1631	153
914	1632	151
915	1635	149
916	1636	148
917	1638	146
918	1640	144
919	1642	142
920	1643	141
921	1645	139
922	1647	137
923	1649	135
924	1651	133
925	1653	132
926	1655	130
927	1657	128
928	1659	126
929	1661	125
930	1663	123
931	1665	121
932	1667	119
933	1669	117
934	1670	116
935	1673	114
936	1675	112
937	1676	110
938	1678	109
939	1681	107
940	1683	105
941	1684	103
942	1686	101
943	1688	100
944	1690	98
945	1692	96
946	1694	94
947	1696	93
948	1698	91
949	1699	89
950	1701	87
951	1703	85
952	1705	84
953	1707	82
954	1709	80
955	1711	78
956	1713	76
957	1715	75
958	1716	73
959	1718	71
960	1720	69
961	1722	68
962	1724	66
963	1726	64
964	1728	62
965	1730	60
966	1731	59
967	1734	57
968	1736	55
969	1737	53
970	1739	51
971	1741	50
972	1743	48
973	1745	46
974	1747	44
975	1749	43
976	1751	41
977	1753	39
978	1755	37
979	1756	35
980	1758	34
981	1760	32
982	1762	30
983	1764	28
984	1766	26
985	1768	25
986	1769	23
987	1771	21
988	1773	19
989	1775	17
990	1777	16
991	1778	14
992	1780	12
993	1782	10
994	1784	8
995	1785	7
996	1787	5
997	1789	3
998	1791	1
999	1793	0
